time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
6.066500000012800e-001	5.744331e-001	-6.210656e-005
6.090500000012851e-001	5.718278e-001	-6.328134e-005
6.137500000012950e-001	5.670432e-001	-6.554001e-005
6.245500000013178e-001	5.571570e-001	-7.051046e-005
6.296500000013285e-001	5.529509e-001	-7.274614e-005
6.437500000013583e-001	5.426676e-001	-7.853169e-005
6.596500000013919e-001	5.331459e-001	-8.431474e-005
6.777500000014300e-001	5.246013e-001	-8.987174e-005
6.896500000014552e-001	5.201656e-001	-9.289646e-005
7.120500000015024e-001	5.141115e-001	-9.717059e-005
7.196500000015185e-001	5.126973e-001	-9.818727e-005
7.421500000015660e-001	5.103138e-001	-9.987838e-005
7.496500000015818e-001	5.101051e-001	-9.999974e-005
7.721500000016293e-001	5.112182e-001	-9.903310e-005
7.796500000016451e-001	5.121734e-001	-9.826969e-005
8.021500000016926e-001	5.168468e-001	-9.467953e-005
8.096500000017084e-001	5.190301e-001	-9.305837e-005
8.310500000017536e-001	5.271077e-001	-8.731092e-005
8.396500000017717e-001	5.311798e-001	-8.455041e-005
8.573500000018091e-001	5.412222e-001	-7.810193e-005
8.696500000018350e-001	5.496680e-001	-7.304722e-005
8.840500000018654e-001	5.613250e-001	-6.657774e-005
8.970500000018928e-001	5.737638e-001	-6.026788e-005
8.996500000018983e-001	5.765001e-001	-5.895629e-005
9.110500000019224e-001	5.896156e-001	-5.302448e-005
9.213500000019441e-001	6.032589e-001	-4.743033e-005
9.296500000019616e-001	6.157386e-001	-4.277680e-005
9.381500000019796e-001	6.301705e-001	-3.789070e-005
9.458500000019958e-001	6.449796e-001	-3.337081e-005
9.529500000020108e-001	6.604075e-001	-2.913367e-005
9.594500000020245e-001	6.763403e-001	-2.520356e-005
9.596500000020249e-001	6.768618e-001	-2.508193e-005
9.656500000020376e-001	6.934956e-001	-2.141557e-005
9.711500000020492e-001	7.106550e-001	-1.802788e-005
9.762500000020600e-001	7.285395e-001	-1.486724e-005
9.810500000020701e-001	7.474596e-001	-1.187852e-005
9.855500000020796e-001	7.674031e-001	-9.066734e-006
9.896500000020883e-001	7.877908e-001	-6.498513e-006
9.938500000020971e-001	8.112828e-001	-3.863197e-006
9.978500000021056e-001	8.365633e-001	-1.350844e-006
9.999500000021100e-001	8.511441e-001	-3.141592e-008
1.000000000000000e+000	8.515030e-001	-7.347638e-020
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	8.515030e-001	-4.898425e-020
3.650000000007481e-003	8.793443e-001	2.293161e-006
6.750000000014023e-003	9.057530e-001	4.239878e-006
9.450000000019720e-003	9.310941e-001	5.934121e-006
1.185000000002479e-002	9.556463e-001	7.438696e-006
1.405000000002943e-002	9.799798e-001	8.816412e-006
1.605000000003365e-002	1.003734e+000	1.006743e-005
1.795000000003766e-002	1.027835e+000	1.125442e-005
1.975000000004146e-002	1.052125e+000	1.237747e-005
2.145000000004504e-002	1.076432e+000	1.343667e-005
2.305000000004842e-002	1.100572e+000	1.443216e-005
